축산업 사업장 명칭,주사육업종,사업장소재지
,한우,"전라남도 장흥군 대덕읍 도청리 719, 716-5, 716-4, 721, 719-3, 721-1,714-3번지 "
,한우,전라남도 장흥군 유치면 관동리 311번지 1호  
영지한우,한우,"전라남도 장흥군 대덕읍 잠두리 651번지 3호 , 651-6, 651-7, 647-3번지 "
,한우,전라남도 장흥군 용산면 상발리 222번지 3호  
태송목장,한우,전라남도 장흥군 대덕읍 가학리 1178번지 1호  
,한우,전라남도 장흥군 대덕읍 잠두리 41번지  
해오축산,한우,전라남도 장흥군 대덕읍 신월리 501번지  
,한우,전라남도 장흥군 대덕읍 잠두리 71번지  
,한우,전라남도 장흥군 대덕읍 연정리 462번지  
,한우,전라남도 장흥군 대덕읍 신리 802번지 6호  
인철농장,한우,전라남도 장흥군 대덕읍 가학리 743번지 4호  
,한우,전라남도 장흥군 대덕읍 연정리 648번지  
,한우,전라남도 장흥군 대덕읍 잠두리 72번지  
도청축사,한우,전라남도 장흥군 대덕읍 도청리 202번지 250호  
용수농장,한우,"전라남도 장흥군 대덕읍 연정리 513번지 1호 , 466, 514번지 "
,한우,"전라남도 장흥군 대덕읍 도청리 698-1, 698-3, 697-1번지 "
제암한우농장,한우,전라남도 장흥군 장흥읍 금산리 230번지 4호 외 3필지 
,한우,전라남도 장흥군 장흥읍 덕제리 422번지 1호  
,한우,전라남도 장흥군 장흥읍 삼산리 71번지  
,한우,전라남도 장흥군 장흥읍 금산리 산 190번지 5호  
진**농장,한우,전라남도 장흥군 장흥읍 덕제리 680번지 4호  
,한우,전라남도 장흥군 관산읍 방촌리 696번지  
이출농장,한우,"전라남도 장흥군 관산읍 삼산리 1334번지 24호 , 831번지 "
남끝축산,한우,전라남도 장흥군 관산읍 삼산리 1650번지  
용관축산,한우,전라남도 장흥군 관산읍 삼산리 1333번지 18호  
,한우,전라남도 장흥군 대덕읍 연정리 211번지 8호  
,한우,전라남도 장흥군 대덕읍 신월리 174번지 3호  
이레축산,한우,"전라남도 장흥군 대덕읍 연정리 1202번지 , 1203 "
해광축산,한우,전라남도 장흥군 대덕읍 도청리 573번지 2호  
시온농장,한우,"전라남도 장흥군 대덕읍 연정리 724번지 4호 , 724-5, 742-6 "
풀로만2목장(내동),한우,전라남도 장흥군 대덕읍 신월리 944번지  
산들농장,한우,전라남도 장흥군 대덕읍 신월리 174번지 1호  
어등농장,한우,전라남도 장흥군 대덕읍 도청리 426번지  
,한우,전라남도 장흥군 대덕읍 신리 829번지 1호  
법심축기원,한우,전라남도 장흥군 대덕읍 분토리 64번지  
오성축산,한우,전라남도 장흥군 대덕읍 신월리 435번지 8호  
,한우,전라남도 장흥군 대덕읍 가학리 157번지  
,한우,전라남도 장흥군 대덕읍 도청리 680번지  
,한우,전라남도 장흥군 대덕읍 연정리 443번지 5호  
