축산업 사업장 명칭,주사육업종,사업장소재지
하석농장,한우,전라남도 장흥군 장동면 용곡리 462-15번지 
둥이농장,한우,전라남도 장흥군 장평면 녹양리 169번지 
문**농장,한우,전라남도 장흥군 부산면 금자리 1000-29번지 
한울농장,한우,전라남도 장흥군 용산면 금곡리 3번지 12호  
탑동농장,한우,전라남도 장흥군 장평면 용강리 100-2번지 
추**농장,한우,"전라남도 장흥군 안양면 해창리 827번지 1호 , 827-2 "
봉**축산,한우,전라남도 장흥군 장평면 어곡리 794-1번지 
최**농장,한우,"전라남도 장흥군 장평면 축내리 259, 260, 260-2, 260-10번지 "
신은농장,한우,전라남도 장흥군 관산읍 성산리 44-4번지 
김**농장,한우,"전라남도 장흥군 대덕읍 연지리 187-1, 187-3, 193번지 "
노**농장,한우,전라남도 장흥군 회진면 회진리 2155-6번지 
참샘2농장,한우,전라남도 장흥군 안양면 신촌리 468-1번지 
,한우,"전라남도 장흥군 관산읍 남송리 100번지 5호 , 100-7번지 "
바우농장,한우,전라남도 장흥군 장평면 봉림리 789-3번지 
김**농장,한우,전라남도 장흥군 장평면 봉림리 526-1번지 
,한우,"전라남도 장흥군 관산읍 죽청리 30번지 , 34, 35번지 "
,한우,전라남도 장흥군 관산읍 남송리 527번지 1호  
,한우,"전라남도 장흥군 용산면 상금리 88-1, 88-24번지 "
,한우,전라남도 장흥군 관산읍 고마리 74번지 
,한우,전라남도 장흥군 대덕읍 가학리 759번지 7호  
선경축산,한우,"전라남도 장흥군 장동면 배산리 75, 76번지 "
,한우,전라남도 장흥군 장흥읍 평장리 86번지 주1동 
벼리농장,한우,전라남도 장흥군 장흥읍 평장리 86번지 주2동 
,한우,"전라남도 장흥군 관산읍 삼산리 503-6, 503-7번지 "
장수농장,한우,"전라남도 장흥군 회진면 진목리 796번지 , 798 "
,한우,전라남도 장흥군 안양면 사촌리 32번지 4호  
,한우,전라남도 장흥군 용산면 접정리 2번지 5호  
,한우,전라남도 장흥군 회진면 회진리 2165-16번지 
JKfarms,한우,전라남도 장흥군 관산읍 성산리 210번지 7호  
,한우,"전라남도 장흥군 대덕읍 신월리 439번지 1호 , 439-2 "
,한우,전라남도 장흥군 관산읍 죽청리 275번지 2호  
늘봄한우,한우,전라남도 장흥군 용산면 인암리 845번지 
이**,한우,"전라남도 장흥군 회진면 회진리 1242-3, 1248번지 "
김**,한우,전라남도 장흥군 대덕읍 신리 198번지 
신**,한우,"전라남도 장흥군 관산읍 송촌리 257-3, 257-4번지 "
김**,한우,"전라남도 장흥군 부산면 호계리 341번지 1호 , 341-5번지 "
손**,한우,전라남도 장흥군 안양면 지천리 405-15번지 
문**,한우,"전라남도 장흥군 관산읍 하발리 1021-2, 1021-3번지 "
김**,한우,"전라남도 장흥군 관산읍 용전리 224-1번지 ,252-13 "
김**,한우,전라남도 장흥군 관산읍 삼산리 241번지 23호  
고당월계,한우,전라남도 장흥군 안양면 당암리 10-35번지(다동) 
삼산리894-53번지,한우,전라남도 장흥군 관산읍 삼산리 894-53번지 
후니농장,한우,전라남도 장흥군 안양면 학송리 37번지  
이화농장,한우,전라남도 장흥군 대덕읍 연정리 1341번지 5호  
동진농장,한우,전라남도 장흥군 용산면 금곡리 3번지 18호  
강**축산,한우,"전라남도 장흥군 용산면 금곡리 3번지 16호 , 3-17 "
점암농장,한우,전라남도 장흥군 장흥읍 영전리 760번지  
석**농장,한우,전라남도 장흥군 용산면 운주리 662번지  
태우농장,한우,"전라남도 장흥군 관산읍 고마리 519번지 , 519-1, 519-3, 519-38번지 "
성욱농장,한우,전라남도 장흥군 장동면 북교리 598-5번지 
어등농장,한우,전라남도 장흥군 대덕읍 도청리 871-7번지 
모령축산,한우,"전라남도 장흥군 안양면 모령리 21번지 , 44번지 "
대승농장,한우,전라남도 장흥군 대덕읍 연정리 578번지 1호  
남송농장,한우,"전라남도 장흥군 안양면 해창리 1229번지 3호 , 1229-4, 1229-5번지 "
서씨농장,한우,전라남도 장흥군 안양면 해창리 821번지 7호  
창훈목장,한우,"전라남도 장흥군 관산읍 외동리 54, 56, 57, 55-3번지 "
생양축산,한우,"전라남도 장흥군 장흥읍 향양리 244-2, 244-3번지 "
다온축사,한우,전라남도 장흥군 안양면 사촌리 750번지 1호  
한들축산,한우,"전라남도 장흥군 안양면 해창리 817번지 11호 , 산907-4 "
승자농장,한우,"전라남도 장흥군 안양면 운흥리 65, 66, 67, 64번지 "
다성원목장,한우,"전라남도 장흥군 회진면 덕산리 1760번지 3호 , 1760-4 "
한영축산,한우,전라남도 장흥군 관산읍 농안리 28번지 19호  
우농2축산,한우,전라남도 장흥군 장평면 임리 133번지 6호  
석준축산,한우,전라남도 장흥군 용산면 덕암리 224번지 1호  
준이농장,한우,"전라남도 장흥군 대덕읍 도청리 41-1, 41-2번지 "
미공사,한우,전라남도 장흥군 장흥읍 금산리 261-1번지 
남촌농장,한우,"전라남도 장흥군 회진면 신상리 1137번지 5호 , 1137-6 "
중앙축산,한우,"전라남도 장흥군 장흥읍 덕제리 689번지 3호 , 689-4, 689-5 "
정희축사,한우,전라남도 장흥군 대덕읍 연정리 1334번지 5호  
성진축산,한우,"전라남도 장흥군 회진면 회진리 1702번지 , 1703 "
잠두산축산,한우,전라남도 장흥군 대덕읍 잠두리 96번지  
골샘농장,한우,전라남도 장흥군 관산읍 지정리 435번지  
